user_id,disability_type,skills_one,skills_two
1,Visual Impairment,Communication,Problem Solving
2,Hearing Impairment,Teamwork,Adaptability
3,Mobility Impairment,Leadership,Time Management
4,Cognitive Disability,Critical Thinking,Attention to Detail
5,Neurological Disorder,Creativity,Analytical Skills
6,Developmental Disability,Organization,Decision Making
7,Physical Disability,Technical Skills,Project Management
8,Mental Health Condition,Collaboration,Emotional Intelligence
9,Learning Disability,Research Skills,Written Communication
10,Speech Impairment,Presentation Skills,Active Listening
11,Physical Disability,Teamwork,Problem Solving
12,Visual Impairment,Leadership,Organization
13,Cognitive Disability,Communication,Critical Thinking
14,Developmental Disability,Adaptability,Decision Making
15,Hearing Impairment,Time Management,Technical Skills
16,Neurological Disorder,Collaboration,Creativity
17,Mental Health Condition,Research Skills,Emotional Intelligence
18,Mobility Impairment,Analytical Skills,Project Management
19,Learning Disability,Presentation Skills,Written Communication
20,Speech Impairment,Active Listening,Problem Solving
21,Visual Impairment,Communication,Adaptability
22,Cognitive Disability,Teamwork,Decision Making
23,Physical Disability,Leadership,Time Management
24,Neurological Disorder,Critical Thinking,Creativity
25,Developmental Disability,Organization,Research Skills
